"SVAD_identifier","SEX","agey","FDL","FMSB","FDB","TDL","TPB","TMSB","TDB","FBDL","HDL","HPB","HMSB","HDB","RDL","RPB","RMSB","RDB","UDL","UMSB","max_M1","max_M2","max_M3","max_PM1","max_PM2","max_C","max_I1","max_I2","man_M1","man_M2","man_M3","man_PM1","man_PM2","man_C","man_I1","man_I2","FH_EF","FGT_EF","FLT_EF","FDE_EF","TPE_EF","TDE_EF","FBPE_EF","FBDE_EF","HH_Oss","HGT_Oss","HLT_Oss","HPE_EF","HC_Oss","HT_Oss","HLE_Oss","HDE_EF","HME_EF","RPE_EF","RDE_EF","UPE_EF","UDE_EF","CT_EF","CC_Oss","TC_Oss","ISPR_EF","ILIS_EF","PC_Oss","IC_EF"
"US_0186","F",1.17260274,141.79,12.6,38.46,114.88,29.93,10.43,19.46,110.76,105.94,21.71,12.27,27.41,83.86,11.26,8.65,15.7,95.76,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3,3,0,0,0,NA
"US_0006","F",4.756164384,257.3,15.85,52.85,210.03,43.73,14.95,30.35,212.17,188.89,27.92,15.2,38.28,143.38,12.17,10.36,NA,158.56,9.74,7,2,NA,3,2,5,7,7,7,2,NA,5,2,6,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,6,5,1,0,1,NA
"US_0837","M",4.073972603,211.32,13.37,43.2,171.1,35.83,12.77,23.8,168.31,150.2,23.38,11.23,27.84,111.39,9.7,7.77,14.4,123.06,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,5,0,0,0,NA
"US_0915","M",1.087671233,144.6,12.37,39.89,120.4,31.06,10.8,19.89,118.47,111.71,23.13,12.2,28.34,88.97,11.25,8.94,15.55,101.44,8.42,2,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,NA
"US_0617","M",0.830136986,124.93,11.35,38.77,101.25,29.75,9.62,19.79,98.39,100.81,23.65,12.35,27.75,77.32,10.37,7.46,15.71,86.3,8.74,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,NA
"US_0165","F",14.86027397,NA,NA,67.15,NA,NA,NA,53.77,NA,NA,41.98,NA,46.3,NA,NA,NA,23.86,NA,NA,11,10,7,10,10,10,11,11,11,10,7,10,10,10,11,11,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,3,2,2,8,5,2,2,1,2
"US_0657","M",13.65205479,NA,NA,73.32,NA,59.61,NA,45.27,NA,NA,44.32,NA,56.92,NA,20.49,NA,30.56,NA,NA,11,10,3,11,11,11,11,11,11,10,6,10,10,10,11,10,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,8,5,2,2,1,1
"US_0013","M",3.909589041,228.58,17.54,52.33,190.47,42.13,12.87,27.03,189.97,169.49,26.58,13.77,34.94,129.84,11.53,9.22,17.13,143,9.16,7,1,NA,2,2,5,6,6,7,2,NA,5,2,5,6,5,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2,5,0,0,1,NA
"US_1276","F",4.424657534,NA,NA,54.52,210.1,43.22,14.7,30.03,203.58,NA,29.84,NA,35.37,136.82,12.43,9.51,18.85,150.61,10.09,6,2,NA,4,3,5,7,6,7,2,NA,5,2,6,7,7,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,5,5,2,0,1,NA
"US_0978","F",0.983561644,131.5,12.14,34.83,107.51,26.95,10.39,18.83,103.1,103.24,19.78,10.8,26.28,75.71,9.08,7.93,14.25,86.78,7.59,1,NA,NA,NA,NA,0,1,0,2,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,NA
